epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7535825371742249,0.6924542188644409
0,234,0.7753889560699463,0.6281953454017639,,
1,469,,,0.7523364424705505,0.6926440000534058
1,469,0.790278434753418,0.5763556361198425,,
2,704,,,0.80467289686203,0.5875104069709778
2,704,0.7962208986282349,0.5572250485420227,,
3,939,,,0.7831775546073914,0.6077219843864441
3,939,0.8041663765907288,0.5401030778884888,,
4,1174,,,0.7922118306159973,0.6019086837768555
4,1174,0.8126460313796997,0.5221377015113831,,
5,1409,,,0.7803738117218018,0.6162883639335632
5,1409,0.8159844875335693,0.5123210549354553,,
6,1644,,,0.8115264773368835,0.551245927810669
6,1644,0.8193897604942322,0.501545786857605,,
7,1879,,,0.813395619392395,0.5549815893173218
7,1879,0.8269346356391907,0.4851931631565094,,
8,2114,,,0.813707172870636,0.5458889007568359
8,2114,0.828870952129364,0.48208945989608765,,
9,2349,,,0.8161993622779846,0.5411434173583984
9,2349,0.8365494012832642,0.4724348485469818,,
10,2584,,,0.818691611289978,0.5333791971206665
10,2584,0.8310075402259827,0.4670557975769043,,
11,2819,,,0.8236759901046753,0.5285890102386475
11,2819,0.8327435255050659,0.457470178604126,,
12,3054,,,0.8196261525154114,0.5305206775665283
12,3054,0.8382853865623474,0.45571964979171753,,
13,3289,,,0.8140186667442322,0.5367571115493774
13,3289,0.837016761302948,0.4487706422805786,,
14,3524,,,0.799688458442688,0.5628523826599121
14,3524,0.84108966588974,0.4414409101009369,,
