epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7224299311637878,0.7923258543014526
0,234,0.6720304489135742,0.9055280685424805,,
1,469,,,0.7196261882781982,0.7738184928894043
1,469,0.7233090996742249,0.7542396187782288,,
2,704,,,0.7364485859870911,0.7369158267974854
2,704,0.7336582541465759,0.7240684032440186,,
3,939,,,0.6940810084342957,0.836370050907135
3,939,0.742538571357727,0.7048358917236328,,
4,1174,,,0.7137071490287781,0.7790493965148926
4,1174,0.7426720857620239,0.6978632211685181,,
5,1409,,,0.7358255386352539,0.7287933826446533
5,1409,0.7438071966171265,0.688852071762085,,
6,1644,,,0.7056074738502502,0.7990160584449768
6,1644,0.751552402973175,0.6747593283653259,,
7,1879,,,0.7115264534950256,0.7780251502990723
7,1879,0.7450757622718811,0.6880351305007935,,
8,2114,,,0.7348909378051758,0.7349164485931396
8,2114,0.7475462555885315,0.679053783416748,,
9,2349,,,0.7389408349990845,0.7406582236289978
9,2349,0.7540895938873291,0.6663239002227783,,
10,2584,,,0.7370716333389282,0.7377640604972839
10,2584,0.7583628296852112,0.6609892845153809,,
11,2819,,,0.7355140447616577,0.7373765707015991
11,2819,0.7511517405509949,0.6727478504180908,,
12,3054,,,0.7370716333389282,0.7326476573944092
12,3054,0.7556920647621155,0.6601598858833313,,
13,3289,,,0.7352024912834167,0.7464343309402466
13,3289,0.7520865201950073,0.6610758900642395,,
14,3524,,,0.7333333492279053,0.7591539025306702
14,3524,0.7561594247817993,0.6632890105247498,,
15,3759,,,0.7392523288726807,0.7370172739028931
15,3759,0.756292998790741,0.6632211208343506,,
16,3994,,,0.7330217957496643,0.7442358732223511
16,3994,0.7576283812522888,0.6531397700309753,,
17,4229,,,0.7155763506889343,0.768963634967804
17,4229,0.7606997489929199,0.6502009034156799,,
18,4464,,,0.7323987483978271,0.7390831112861633
18,4464,0.7548908591270447,0.6660585403442383,,
19,4699,,,0.7345794439315796,0.7399600148200989
19,4699,0.759164035320282,0.6539838314056396,,
