epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7233644723892212,0.7900674939155579
0,234,0.6769713759422302,0.8978220820426941,,
1,469,,,0.7242990732192993,0.7732663750648499
1,469,0.7223743200302124,0.7540525794029236,,
2,704,,,0.740498423576355,0.7370771765708923
2,704,0.733524739742279,0.7232541441917419,,
3,939,,,0.6956386566162109,0.8321505188941956
3,939,0.7442745566368103,0.7044622302055359,,
4,1174,,,0.7158878445625305,0.777739942073822
4,1174,0.742538571357727,0.6975522041320801,,
5,1409,,,0.7436137199401855,0.7293772101402283
5,1409,0.7452093362808228,0.6885859370231628,,
6,1644,,,0.704049825668335,0.7985368967056274
6,1644,0.751552402973175,0.6743611693382263,,
7,1879,,,0.714018702507019,0.7761572003364563
7,1879,0.7461441159248352,0.6876819729804993,,
8,2114,,,0.7401869297027588,0.7343327403068542
8,2114,0.7474126815795898,0.6788857579231262,,
9,2349,,,0.7411214709281921,0.7403467297554016
9,2349,0.7560259103775024,0.6663243770599365,,
10,2584,,,0.740809977054596,0.7364968657493591
10,2584,0.7588969469070435,0.6605055332183838,,
11,2819,,,0.7389408349990845,0.7366599440574646
11,2819,0.7506176233291626,0.672476053237915,,
12,3054,,,0.7392523288726807,0.7320837378501892
12,3054,0.755959153175354,0.6600826382637024,,
13,3289,,,0.7336448431015015,0.7451756596565247
13,3289,0.7536889910697937,0.6603491306304932,,
14,3524,,,0.7308411002159119,0.7587193846702576
14,3524,0.7562262415885925,0.6630595326423645,,
15,3759,,,0.7395638823509216,0.7370530962944031
15,3759,0.7552247047424316,0.662960946559906,,
16,3994,,,0.7323987483978271,0.7448828816413879
16,3994,0.7566936016082764,0.6528705954551697,,
17,4229,,,0.7208722829818726,0.7686180472373962
17,4229,0.7628363370895386,0.6501079797744751,,
18,4464,,,0.7342678904533386,0.740035891532898
18,4464,0.7540228366851807,0.665948212146759,,
19,4699,,,0.7364485859870911,0.7399882674217224
19,4699,0.759497880935669,0.6540651321411133,,
