epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7657321095466614,0.648055911064148
0,234,0.7703144550323486,0.6280050873756409,,
1,469,,,0.7704049944877625,0.6354446411132812
1,469,0.8300727605819702,0.47743532061576843,,
2,704,,,0.7660436034202576,0.6604140996932983
2,704,0.8721372485160828,0.37895891070365906,,
3,939,,,0.7922118306159973,0.6154096722602844
3,939,0.909394383430481,0.29228708148002625,,
4,1174,,,0.7875389456748962,0.6327263712882996
4,1174,0.9412432312965393,0.22171592712402344,,
5,1409,,,0.7900311350822449,0.6387122869491577
5,1409,0.9648794531822205,0.16250742971897125,,
6,1644,,,0.7922118306159973,0.6562566161155701
6,1644,0.982840359210968,0.11555943638086319,,
7,1879,,,0.7778816223144531,0.7103093266487122
7,1879,0.991854190826416,0.08410969376564026,,
8,2114,,,0.7760124802589417,0.7517206072807312
8,2114,0.9965280294418335,0.058017004281282425,,
9,2349,,,0.7853582501411438,0.7299395799636841
9,2349,0.998798131942749,0.041171398013830185,,
10,2584,,,0.7862928509712219,0.7439084053039551
10,2584,0.9993323087692261,0.03193145617842674,,
11,2819,,,0.7894080877304077,0.7753917574882507
11,2819,0.9997329115867615,0.02389574982225895,,
12,3054,,,0.7828660607337952,0.7817136645317078
12,3054,0.9999332427978516,0.019058341160416603,,
13,3289,,,0.7937694787979126,0.7934708595275879
13,3289,0.9998664855957031,0.01488327607512474,,
14,3524,,,0.7975077629089355,0.808021605014801
14,3524,0.9997996687889099,0.013018478639423847,,
